Numero,Cliente,Saldo,DiaAniversario
100001,80580,63047,19
100002,37156,54825,15
100003,84635,86475,28
100004,44283,25484,27
100005,97852,65979,4
100006,2585,69,4
100007,3534,85146,2
100008,59641,10948,5
100009,99799,89465,21
100010,41411,10581,18
100011,900,98866,22
100012,61521,83305,11
100013,81451,69260,9
100014,20771,75718,31
100015,71145,94769,27
100016,86352,37926,5
100017,87932,43440,29
100018,54209,5042,7
100019,17132,51548,19
100020,87741,70129,12
100021,91760,81556,9
100022,65235,70101,28
100023,16045,30891,21
100024,45815,670,1
100025,16872,98043,5
100026,19941,2939,14
100027,80321,50712,3
100028,8878,32986,27
100029,54565,53648,21
100030,30205,56702,4
100031,33169,11161,29
100032,29826,9556,15
100033,12554,98798,11
100034,52614,18272,5
100035,19439,93676,27
100036,86503,8324,29
100037,79255,2819,22
100038,6506,56503,8
100039,21196,47184,14
100040,66229,39249,3
100041,78012,89166,2
100042,41414,49086,29
100043,44168,7048,18
100044,19685,88797,8
100045,86378,49730,15
100046,29486,57050,8
100047,72236,40780,26
100048,50679,32029,27
100049,89931,43763,19
100050,11028,56768,27
100051,43737,82083,28
100052,46395,34378,21
100053,175,69438,5
100054,24714,24555,8
100055,101058,76062,1
100056,68474,41704,11
100057,159,37797,27
100058,53086,48985,4
100059,58366,6422,7
100060,45692,95777,30
100061,27846,95875,11
100062,3090,76826,10
100063,61866,54373,28
100064,85660,21367,29
100065,59392,13158,28
100066,99352,78253,9
100067,10521,5317,19
100068,76459,78125,15
100069,8183,25908,31
100070,67532,81130,5
100071,24255,99103,10
100072,48672,7452,26
100073,80587,86240,28
100074,90107,34377,18
100075,80012,81084,14
100076,25543,30491,14
100077,97592,45943,26
100078,20453,85532,8
100079,31358,54873,10
100080,94395,29567,10
100081,83272,80537,14
100082,51149,56080,2
100083,42196,57923,9
100084,58892,96902,14
100085,77501,47911,19
100086,25270,62513,7
100087,31349,91591,10
100088,95921,88997,18
100089,17525,59243,19
100090,100837,3326,10
100091,24365,54203,8
100092,53282,12348,21
100093,2881,23082,2
100094,64610,77656,3
100095,29223,67110,10
100096,35154,28209,2
100097,86279,48644,29
100098,37177,77251,25
100099,6583,86255,7
100100,44027,60614,24
100101,97636,13405,16
100102,28758,35229,28
100103,87062,42591,30
100104,24337,5161,24
100105,52715,67710,27
100106,74073,386,19
100107,13603,21880,3
100108,87313,25662,29
